source,target,weight,layer
ALOX12B,PLA2G6,0.719,DEG_T2D
ALOX12B,CYP2E1,0.907,DEG_T2D
AMH,CHRD,0.928,DEG_T2D
AMH,IGF1,0.702,DEG_T2D
AMH,LHCGR,0.722,DEG_T2D
AMH,NR0B1,0.83,DEG_T2D
AMH,INSL3,0.877,DEG_T2D
ANAPC1,FBXO5,0.969,DEG_T2D
ANAPC1,BARD1,0.91,DEG_T2D
ANAPC1,BUB1B,0.999,DEG_T2D
ANAPC1,MAD2L1,0.991,DEG_T2D
ANAPC1,NEUROD2,0.771,DEG_T2D
ANAPC1,ANAPC2,0.999,DEG_T2D
ANAPC1,BRCA2,0.726,DEG_T2D
ANAPC1,UBB,0.896,DEG_T2D
ANAPC1,PHC1,0.902,DEG_T2D
ANAPC1,CUL7,0.905,DEG_T2D
ANAPC2,FBXO5,0.989,DEG_T2D
ANAPC2,BARD1,0.916,DEG_T2D
ANAPC2,INVS,0.72,DEG_T2D
ANAPC2,BUB1B,0.999,DEG_T2D
ANAPC2,MAD2L1,0.969,DEG_T2D
ANAPC2,BRCA2,0.76,DEG_T2D
ANAPC2,PHC1,0.9,DEG_T2D
ANAPC2,CUL7,0.918,DEG_T2D
ANAPC2,UBB,0.948,DEG_T2D
ANK2,TP53,0.727,DEG_T2D
ANK2,SIGMAR1,0.838,DEG_T2D
ANK2,CALML3,0.841,DEG_T2D
ANK2,SCN5A,0.888,DEG_T2D
ANK2,KCNQ2,0.704,DEG_T2D
ANK2,TRPC4,0.747,DEG_T2D
ANK2,RHAG,0.777,DEG_T2D
ANK2,DCTN4,0.782,DEG_T2D
ANPEP,KYAT3,0.811,DEG_T2D
ANPEP,SCARB2,0.737,DEG_T2D
ANPEP,CD2,0.734,DEG_T2D
ANPEP,FCGR1A,0.82,DEG_T2D
ANPEP,ENG,0.863,DEG_T2D
AOX1,CYP26B1,0.921,DEG_T2D
AOX1,CYP2C9,0.964,DEG_T2D
AOX1,PCCA,0.825,DEG_T2D
AOX1,ECHDC1,0.832,DEG_T2D
AOX1,DHRS9,0.916,DEG_T2D
AOX1,CYP3A4,0.956,DEG_T2D
AP1AR,AP1G1,0.734,DEG_T2D
AP1G1,AP5M1,0.765,DEG_T2D
AP1G1,AP1S1,0.998,DEG_T2D
AP1G1,EPS15,0.847,DEG_T2D
AP1G1,EPN1,0.722,DEG_T2D
AP1G1,AP2S1,0.873,DEG_T2D
AP1G1,CLINT1,0.897,DEG_T2D
AP1G1,RABEP1,0.941,DEG_T2D
AP1S1,AP5M1,0.957,DEG_T2D
AP1S1,AP2S1,0.921,DEG_T2D
AP2S1,AP5M1,0.921,DEG_T2D
AP2S1,BMP2K,0.822,DEG_T2D
AP2S1,EPS15,0.952,DEG_T2D
AP2S1,EPN1,0.737,DEG_T2D
AP2S1,RUNDC3A,0.789,DEG_T2D
APBB1,LRP1,0.918,DEG_T2D
APC2,MAPRE3,0.827,DEG_T2D
APC2,TBL1Y,0.901,DEG_T2D
APOA4,LIPC,0.796,DEG_T2D
APOA4,FGG,0.792,DEG_T2D
APOA4,APOC4,0.887,DEG_T2D
APOC4,LIPC,0.759,DEG_T2D
AQP1,RHAG,0.924,DEG_T2D
ARFRP1,RAB6A,0.735,DEG_T2D
ARHGDIA,NGFR,0.992,DEG_T2D
ARHGDIA,MAG,0.75,DEG_T2D
ARHGEF7,NCKIPSD,0.809,DEG_T2D
ARHGEF7,PAK2,0.999,DEG_T2D
ARHGEF7,PAK5,0.939,DEG_T2D
ARHGEF7,PAK6,0.962,DEG_T2D
ARMC8,RANBP9,0.993,DEG_T2D
ARMC8,MKLN1,0.926,DEG_T2D
ARMC8,RMND5B,0.985,DEG_T2D
ARNT2,HIF3A,0.977,DEG_T2D
ARSB,MMUT,0.721,DEG_T2D
ARSD,MED14,0.701,DEG_T2D
ASTN2,FRK,0.999,DEG_T2D
ASXL2,DNMT3A,0.735,DEG_T2D
ASXL2,EZH2,0.857,DEG_T2D
ASXL2,UCHL5,0.887,DEG_T2D
ATAD2,TPX2,0.755,DEG_T2D
ATG2B,WIPI1,0.996,DEG_T2D
ATG2B,MON2,0.729,DEG_T2D
ATG4A,WIPI1,0.767,DEG_T2D
ATG4A,MAP1LC3B,0.92,DEG_T2D
ATOH1,TCF12,0.719,DEG_T2D
ATOH1,MYO7A,0.786,DEG_T2D
ATP5F1D,CUL7,0.701,DEG_T2D
ATP5F1D,MRPL16,0.713,DEG_T2D
ATP5F1D,ATP6V1D,0.931,DEG_T2D
ATP5F1D,CDCA8,0.975,DEG_T2D
ATP6V1D,C9orf16,0.832,DEG_T2D
ATR,BARD1,0.725,DEG_T2D
ATR,TELO2,0.989,DEG_T2D
ATR,TP53,0.996,DEG_T2D
ATR,WRN,0.966,DEG_T2D
ATR,CDC25A,0.86,DEG_T2D
ATR,PPP2R2A,0.856,DEG_T2D
ATR,SMC5,0.726,DEG_T2D
ATR,ERCC2,0.771,DEG_T2D
ATR,BRCA2,0.831,DEG_T2D
ATR,PPP2R2B,0.845,DEG_T2D
ATR,RECQL4,0.894,DEG_T2D
ATR,RBBP8,0.899,DEG_T2D
ATR,BLM,0.962,DEG_T2D
ATR,RAD1,0.971,DEG_T2D
ATXN2L,DCP1A,0.723,DEG_T2D
ATXN2L,LSM12,0.986,DEG_T2D
AVPR1B,GNA12,0.913,DEG_T2D
AVPR1B,POMC,0.815,DEG_T2D
AVPR1B,AVPR2,0.939,DEG_T2D
AVPR2,GNA12,0.757,DEG_T2D
AVPR2,RENBP,0.837,DEG_T2D
AZGP1,HP,0.782,DEG_T2D
AZGP1,KLK3,0.833,DEG_T2D
AZI2,TBKBP1,0.937,DEG_T2D
B3GALT5,B4GALT4,0.954,DEG_T2D
B3GALT5,FUT2,0.958,DEG_T2D
B3GNT3,FUT6,0.946,DEG_T2D
B3GNT3,FUT2,0.95,DEG_T2D
B3GNT3,B4GALT4,0.952,DEG_T2D
B4GALT4,FUT6,0.921,DEG_T2D
B4GALT4,FUT2,0.92,DEG_T2D
BAAT,GAD2,0.904,DEG_T2D
BAAT,SLC27A5,0.987,DEG_T2D
BAG5,TP53,0.703,DEG_T2D
BAG5,HSPH1,0.737,DEG_T2D
BAG5,RAB29,0.89,DEG_T2D
BAIAP3,IPO13,0.813,DEG_T2D
BARD1,BLM,0.718,DEG_T2D
BARD1,WRN,0.825,DEG_T2D
BARD1,BUB1B,0.838,DEG_T2D
BARD1,XRCC2,0.888,DEG_T2D
BARD1,PHC1,0.905,DEG_T2D
BARD1,H2AC15,0.906,DEG_T2D
BARD1,CUL7,0.911,DEG_T2D
BARD1,UBB,0.954,DEG_T2D
BARD1,TP53,0.982,DEG_T2D
BARD1,RBBP8,0.999,DEG_T2D
BARD1,BRCA2,0.999,DEG_T2D
BCL2L13,CERS2,0.706,DEG_T2D
BCL2L13,FKBP8,0.819,DEG_T2D
BCL6,TP53,0.957,DEG_T2D
BCL6,CXCL13,0.714,DEG_T2D
BCL6,EZH2,0.795,DEG_T2D
BCL6,FOXO3,0.721,DEG_T2D
BCL6,CR2,0.726,DEG_T2D
BCL6,NCOR2,0.999,DEG_T2D
BCL6,NEB,0.797,DEG_T2D
BCL7A,CALD1,0.715,DEG_T2D
BFSP2,EPHB2,0.729,DEG_T2D
BFSP2,HSF4,0.847,DEG_T2D
BFSP2,PITX3,0.878,DEG_T2D
BFSP2,CRYGS,0.925,DEG_T2D
BLM,TP53,0.932,DEG_T2D
BLM,WRN,0.802,DEG_T2D
BLM,MSH5,0.718,DEG_T2D
BLM,SMC5,0.721,DEG_T2D
BLM,MLH3,0.748,DEG_T2D
BLM,RFC3,0.748,DEG_T2D
BLM,RAD1,0.758,DEG_T2D
BLM,XRCC2,0.789,DEG_T2D
BLM,RBBP8,0.871,DEG_T2D
BLM,BRCA2,0.935,DEG_T2D
BLM,TOP3B,0.945,DEG_T2D
BMP10,MYH7,0.773,DEG_T2D
BMP10,GDF2,0.857,DEG_T2D
BMP10,ENG,0.977,DEG_T2D
BMP2K,CLINT1,0.732,DEG_T2D
BMP5,CHRD,0.98,DEG_T2D
BMP5,GREM2,0.86,DEG_T2D
BMP7,CHRD,0.991,DEG_T2D
BMP7,SMAD6,0.753,DEG_T2D
BMP7,GREM2,0.921,DEG_T2D
BMP7,ENG,0.83,DEG_T2D
BRCA2,RAD51AP1,0.794,DEG_T2D
BRCA2,XRCC1,0.827,DEG_T2D
BRCA2,TP53,0.995,DEG_T2D
BRCA2,BUB1B,0.953,DEG_T2D
BRCA2,WRN,0.888,DEG_T2D
BRCA2,KNL1,0.741,DEG_T2D
BRCA2,MLH3,0.783,DEG_T2D
BRCA2,XRCC2,0.982,DEG_T2D
BRCA2,MSH5,0.72,DEG_T2D
BRCA2,RFC3,0.723,DEG_T2D
BRCA2,CUL7,0.726,DEG_T2D
BRCA2,PHC1,0.734,DEG_T2D
