source,target,weight,layer
GDF5,ACVR2B,0.985,DEG_HTN
GDF5,BMP2,0.896,DEG_HTN
GDF7,ACVR2B,0.953,DEG_HTN
GDI2,RAB11A,0.893,DEG_HTN
GDI2,RAB31,0.908,DEG_HTN
GFRA4,RET,0.985,DEG_HTN
GIT1,RAC2,0.786,DEG_HTN
GIT1,ARHGEF6,0.999,DEG_HTN
GIT1,PXN,0.999,DEG_HTN
GIT1,GIT2,0.952,DEG_HTN
GIT2,ARHGEF6,0.998,DEG_HTN
GIT2,PXN,0.999,DEG_HTN
GIT2,GIT1,0.952,DEG_HTN
GLO1,SDHA,0.754,DEG_HTN
GLO1,NDUFS2,0.743,DEG_HTN
GNAI3,MMP15,0.903,DEG_HTN
GNAI3,RGS2,0.976,DEG_HTN
GNAI3,GNB2,0.983,DEG_HTN
GNAI3,GAST,0.94,DEG_HTN
GNAI3,MAPK11,0.728,DEG_HTN
GNAI3,GNAL,0.761,DEG_HTN
GNAI3,ADCY2,0.773,DEG_HTN
GNAI3,FGR,0.909,DEG_HTN
GNAI3,S1PR2,0.909,DEG_HTN
GNAI3,HCK,0.91,DEG_HTN
GNAI3,PTH1R,0.91,DEG_HTN
GNAI3,IGF1R,0.91,DEG_HTN
GNAI3,LYN,0.913,DEG_HTN
GNAL,OR2B6,0.701,DEG_HTN
GNAL,HTR6,0.716,DEG_HTN
GNAL,GNB2,0.874,DEG_HTN
GNAL,MAGED2,0.748,DEG_HTN
GNAL,GNAI3,0.761,DEG_HTN
GNAL,ADGRG2,0.764,DEG_HTN
GNAL,HRH2,0.799,DEG_HTN
GNAL,ADCY2,0.968,DEG_HTN
GNB2,RAC2,0.717,DEG_HTN
GNB2,ITPR1,0.704,DEG_HTN
GNB2,PRKCB,0.704,DEG_HTN
GNB2,MAPK11,0.748,DEG_HTN
GNB2,PRKCA,0.79,DEG_HTN
GNB2,CACNA1H,0.829,DEG_HTN
GNB2,HTR1E,0.835,DEG_HTN
GNB2,GNAL,0.874,DEG_HTN
GNB2,GNAI3,0.983,DEG_HTN
GNL2,UTP3,0.849,DEG_HTN
GNL2,NAT10,0.824,DEG_HTN
GNL2,NVL,0.824,DEG_HTN
GNL2,WDR3,0.883,DEG_HTN
GNL2,RPL15,0.92,DEG_HTN
GNL2,DDX54,0.769,DEG_HTN
GNL2,BRIX1,0.943,DEG_HTN
GNL2,DKC1,0.852,DEG_HTN
GNL2,RPL5,0.989,DEG_HTN
GNL2,NOC3L,0.934,DEG_HTN
GNL2,UTP14A,0.76,DEG_HTN
GNL2,WDR43,0.853,DEG_HTN
GNL2,RPL11,0.967,DEG_HTN
GNL2,EBNA1BP2,0.972,DEG_HTN
GNL2,FTSJ3,0.975,DEG_HTN
GNL2,NSA2,0.999,DEG_HTN
GOLGA1,STX16,0.755,DEG_HTN
GOLGA1,GOLGB1,0.803,DEG_HTN
GOLGB1,GOLGA1,0.803,DEG_HTN
GPN3,POLR2I,0.875,DEG_HTN
GPN3,POLR3D,0.865,DEG_HTN
GPN3,POLR2E,0.882,DEG_HTN
GPNMB,EGFR,0.991,DEG_HTN
GPR161,FOXE3,0.957,DEG_HTN
GPR161,ARRB2,0.967,DEG_HTN
GPR161,IFT140,0.759,DEG_HTN
GPR161,ARRB1,0.942,DEG_HTN
GPR37L1,BDKRB1,0.736,DEG_HTN
GPRIN2,SRGAP3,0.85,DEG_HTN
GRB2,CD22,0.783,DEG_HTN
GRB2,TNFRSF1A,0.855,DEG_HTN
GRB2,SOS2,0.999,DEG_HTN
GRB2,BLNK,0.999,DEG_HTN
GRB2,PLEK,0.733,DEG_HTN
GRB2,MED28,0.745,DEG_HTN
GRB2,PDGFRA,0.974,DEG_HTN
GRB2,FLT4,0.979,DEG_HTN
GRB2,PXN,0.964,DEG_HTN
GRB2,EGFR,0.999,DEG_HTN
GRB2,CD19,0.892,DEG_HTN
GRB2,HCLS1,0.782,DEG_HTN
GRB2,HSP90AA1,0.835,DEG_HTN
GRB2,EZR,0.798,DEG_HTN
GRB2,ANXA2,0.707,DEG_HTN
GRB2,RET,0.952,DEG_HTN
GRB2,AMPH,0.919,DEG_HTN
GRB2,VAV3,0.95,DEG_HTN
GRB2,IRS4,0.996,DEG_HTN
GRB2,HCK,0.753,DEG_HTN
GRB2,TOM1L1,0.742,DEG_HTN
GRB2,GRB7,0.767,DEG_HTN
GRB2,TGFA,0.768,DEG_HTN
GRB2,BDNF,0.779,DEG_HTN
GRB2,PLCG2,0.852,DEG_HTN
GRB2,LYN,0.866,DEG_HTN
GRB2,SIRPA,0.886,DEG_HTN
GRB2,DAG1,0.921,DEG_HTN
GRB2,IGF1R,0.985,DEG_HTN
GRB7,EGFR,0.974,DEG_HTN
GRB7,RET,0.811,DEG_HTN
GRB7,GRB2,0.767,DEG_HTN
GRIA4,GRIK4,0.756,DEG_HTN
GRIA4,GRIN2B,0.853,DEG_HTN
GRIK4,GRIA4,0.756,DEG_HTN
GRIN2B,GRIA4,0.853,DEG_HTN
GRIN2B,DLGAP1,0.9,DEG_HTN
GRIN2B,PRKCA,0.747,DEG_HTN
GRIN2B,BDNF,0.931,DEG_HTN
GRIN2B,RACK1,0.777,DEG_HTN
GRIN2B,LIN7A,0.937,DEG_HTN
GSS,GSTM1,0.931,DEG_HTN
GSTM1,CYP2C18,0.792,DEG_HTN
GSTM1,ALDH3A1,0.753,DEG_HTN
GSTM1,MAP3K5,0.85,DEG_HTN
GSTM1,AP4M1,0.922,DEG_HTN
GSTM1,GSS,0.931,DEG_HTN
GSTM1,EPHX1,0.985,DEG_HTN
GTF2A2,POLR2I,0.966,DEG_HTN
GTF2A2,MED28,0.823,DEG_HTN
GTF2A2,GTF2H4,0.992,DEG_HTN
GTF2A2,MED7,0.941,DEG_HTN
GTF2A2,TAF11,0.99,DEG_HTN
GTF2A2,H4C4,0.847,DEG_HTN
GTF2A2,CCNH,0.949,DEG_HTN
GTF2A2,POLR2E,0.971,DEG_HTN
GTF2A2,POLR2H,0.975,DEG_HTN
GTF2H4,POLR2I,0.966,DEG_HTN
GTF2H4,MED28,0.812,DEG_HTN
GTF2H4,RAD23B,0.756,DEG_HTN
GTF2H4,H4C4,0.84,DEG_HTN
GTF2H4,XPC,0.844,DEG_HTN
GTF2H4,MED7,0.931,DEG_HTN
GTF2H4,POLR2H,0.961,DEG_HTN
GTF2H4,POLR2E,0.971,DEG_HTN
GTF2H4,TAF11,0.979,DEG_HTN
GTF2H4,GTF2A2,0.992,DEG_HTN
GTF2H4,CCNH,0.999,DEG_HTN
GUCY1B1,PDE11A,0.788,DEG_HTN
GUCY1B1,NUDT2,0.903,DEG_HTN
GUCY1B1,PDE6B,0.763,DEG_HTN
GUCY2C,PDE11A,0.775,DEG_HTN
GUCY2C,PDE6B,0.797,DEG_HTN
GUCY2C,NUDT2,0.907,DEG_HTN
GUCY2D,TULP1,0.869,DEG_HTN
GUCY2D,PDE11A,0.748,DEG_HTN
GUCY2D,CDHR1,0.748,DEG_HTN
GUCY2D,CEP290,0.774,DEG_HTN
GUCY2D,PITPNM3,0.824,DEG_HTN
GUCY2D,ABCA4,0.828,DEG_HTN
GUCY2D,NUDT2,0.905,DEG_HTN
GUCY2D,PDE6B,0.919,DEG_HTN
GUCY2D,RPGRIP1,0.945,DEG_HTN
GUF1,MRPS15,0.705,DEG_HTN
GUF1,MRPL13,0.783,DEG_HTN
GUF1,RPL11,0.9,DEG_HTN
GUF1,RPL5,0.901,DEG_HTN
GUSB,IGF2R,0.744,DEG_HTN
GUSB,MPI,0.777,DEG_HTN
GYG1,PYGL,0.847,DEG_HTN
H2AJ,H4C4,0.925,DEG_HTN
H3-3B,POLR2I,0.714,DEG_HTN
H3-3B,GATA2,0.702,DEG_HTN
H3-3B,YWHAZ,0.706,DEG_HTN
H3-3B,E2F1,0.706,DEG_HTN
H3-3B,KDM5B,0.707,DEG_HTN
H3-3B,SMYD3,0.726,DEG_HTN
H3-3B,HSP90AA1,0.75,DEG_HTN
H3-3B,EGFR,0.766,DEG_HTN
H3-3B,ORC3,0.791,DEG_HTN
H3-3B,ZMYND11,0.855,DEG_HTN
H3-3B,SMARCE1,0.879,DEG_HTN
H3-3B,PHF21A,0.887,DEG_HTN
H3-3B,KAT5,0.915,DEG_HTN
H3-3B,SUPT6H,0.936,DEG_HTN
H3-3B,H4C4,0.938,DEG_HTN
H3-3B,CENPA,0.971,DEG_HTN
H3-3B,TRIM33,0.973,DEG_HTN
H3-3B,CARM1,0.975,DEG_HTN
H3-3B,ING1,0.981,DEG_HTN
H3-3B,CBX6,0.982,DEG_HTN
H3-3B,SETDB1,0.982,DEG_HTN
H3-3B,KMT2A,0.985,DEG_HTN
H3-3B,PHF8,0.985,DEG_HTN
H3-3B,HDAC1,0.986,DEG_HTN
H3-3B,KAT6A,0.991,DEG_HTN
H3-3B,CBX1,0.998,DEG_HTN
H3-3B,BPTF,0.998,DEG_HTN
H3-3B,DNMT3L,0.999,DEG_HTN
H3-3B,CBX3,0.999,DEG_HTN
H4C4,PAF1,0.85,DEG_HTN
H4C4,POLR2I,0.877,DEG_HTN
H4C4,MED28,0.8,DEG_HTN
H4C4,H3-3B,0.938,DEG_HTN
H4C4,GTF2H4,0.84,DEG_HTN
H4C4,RPS27A,0.888,DEG_HTN
H4C4,MED7,0.82,DEG_HTN
H4C4,N6AMT1,0.9,DEG_HTN
H4C4,SUPT6H,0.865,DEG_HTN
H4C4,SOX11,0.801,DEG_HTN
H4C4,SMARCE1,0.811,DEG_HTN
H4C4,CENPA,0.967,DEG_HTN
H4C4,TAF11,0.8,DEG_HTN
H4C4,ITGB3BP,0.8,DEG_HTN
H4C4,GTF2A2,0.847,DEG_HTN
H4C4,POLR2H,0.875,DEG_HTN
H4C4,KMT2A,0.829,DEG_HTN
H4C4,H2AJ,0.925,DEG_HTN
H4C4,UBC,0.865,DEG_HTN
H4C4,POLR2E,0.875,DEG_HTN
H4C4,CCNH,0.805,DEG_HTN
H6PD,PYGL,0.791,DEG_HTN
H6PD,GCK,0.974,DEG_HTN
H6PD,AKR1D1,0.731,DEG_HTN
H6PD,PGLS,0.985,DEG_HTN
H6PD,LDHAL6B,0.926,DEG_HTN
H6PD,PGK2,0.715,DEG_HTN
H6PD,ADPGK,0.839,DEG_HTN
H6PD,MPI,0.83,DEG_HTN
H6PD,FH,0.726,DEG_HTN
H6PD,TKT,0.94,DEG_HTN
H6PD,PFKM,0.804,DEG_HTN
H6PD,ALDOA,0.905,DEG_HTN
H6PD,HK1,0.943,DEG_HTN
H6PD,ENO1,0.948,DEG_HTN
HAP1,DCTN6,0.8,DEG_HTN
HAP1,GABRB2,0.935,DEG_HTN
HAP1,BDNF,0.826,DEG_HTN
HAX1,HCLS1,0.958,DEG_HTN
HAX1,SAV1,0.733,DEG_HTN
HCK,PLEK,0.746,DEG_HTN
HCK,EGFR,0.795,DEG_HTN
HCK,LAPTM5,0.733,DEG_HTN
HCK,HCLS1,0.718,DEG_HTN
HCK,FCGR1A,0.96,DEG_HTN
HCK,GNAI3,0.91,DEG_HTN
HCK,GRB2,0.753,DEG_HTN
HCK,PLCG2,0.801,DEG_HTN
HCK,DOCK2,0.933,DEG_HTN
HCK,PTPRC,0.965,DEG_HTN
HCK,LYN,0.986,DEG_HTN
HCLS1,RAC2,0.768,DEG_HTN
HCLS1,PXN,0.994,DEG_HTN
HCLS1,LAPTM5,0.812,DEG_HTN
HCLS1,ARPC2,0.964,DEG_HTN
HCLS1,DLGAP1,0.857,DEG_HTN
HCLS1,HCK,0.718,DEG_HTN
HCLS1,EZR,0.748,DEG_HTN
HCLS1,GRB2,0.782,DEG_HTN
HCLS1,HAX1,0.958,DEG_HTN
HCLS1,LYN,0.959,DEG_HTN
HDAC1,HNRNPL,0.775,DEG_HTN
HDAC1,MYOD1,0.926,DEG_HTN
HDAC1,H3-3B,0.986,DEG_HTN
HDAC1,MDM2,0.963,DEG_HTN
HDAC1,SMAD2,0.98,DEG_HTN
HDAC1,LEF1,0.966,DEG_HTN
HDAC1,KAT6A,0.779,DEG_HTN
HDAC1,DNMT3L,0.989,DEG_HTN
HDAC1,SETDB1,0.992,DEG_HTN
HDAC1,EGFR,0.765,DEG_HTN
HDAC1,NONO,0.812,DEG_HTN
HDAC1,SAP30L,0.978,DEG_HTN
HDAC1,UBTF,0.713,DEG_HTN
HDAC1,SMARCE1,0.751,DEG_HTN
HDAC1,HSP90AA1,0.764,DEG_HTN
HDAC1,CBX3,0.963,DEG_HTN
HDAC1,ZBTB16,0.949,DEG_HTN
HDAC1,CIR1,0.921,DEG_HTN
HDAC1,KAT5,0.985,DEG_HTN
HDAC1,E2F1,0.999,DEG_HTN
HDAC1,ZNF148,0.739,DEG_HTN
HDAC1,ZEB1,0.975,DEG_HTN
HDAC1,KDM5B,0.986,DEG_HTN
HDAC1,BUB3,0.717,DEG_HTN
HDAC1,ZMYND8,0.705,DEG_HTN
HDAC1,PBX1,0.706,DEG_HTN
HDAC1,BDNF,0.726,DEG_HTN
HDAC1,FOXO1,0.728,DEG_HTN
HDAC1,HELLS,0.785,DEG_HTN
HDAC1,KMT2A,0.809,DEG_HTN
HDAC1,SNW1,0.817,DEG_HTN
HDAC1,CBX1,0.877,DEG_HTN
HDAC1,PHB2,0.946,DEG_HTN
HDAC1,SATB1,0.949,DEG_HTN
HDAC1,KDM5C,0.969,DEG_HTN
HDAC1,ING1,0.997,DEG_HTN
HDAC1,PHF21A,0.998,DEG_HTN
HECW1,RPS27A,0.742,DEG_HTN
HECW1,UBC,0.809,DEG_HTN
HELLS,HDAC1,0.785,DEG_HTN
HIP1,CLTA,0.913,DEG_HTN
HIP1,IFT57,0.953,DEG_HTN
HIP1,CLTC,0.98,DEG_HTN
HK1,GCK,0.917,DEG_HTN
HK1,ADPGK,0.936,DEG_HTN
HK1,MPI,0.951,DEG_HTN
HK1,FBP2,0.932,DEG_HTN
HK1,TKT,0.881,DEG_HTN
HK1,MGAM,0.922,DEG_HTN
HK1,H6PD,0.943,DEG_HTN
HK1,ALDOA,0.939,DEG_HTN
HK1,PFKM,0.99,DEG_HTN
HMGB1,HMGB2,0.981,DEG_HTN
HMGB1,RAG1,0.887,DEG_HTN
HMGB1,HSP90AA1,0.703,DEG_HTN
HMGB1,TLR6,0.709,DEG_HTN
HMGB1,HSPA8,0.724,DEG_HTN
HMGB1,TLR1,0.741,DEG_HTN
HMGB1,HNRNPA2B1,0.81,DEG_HTN
HMGB1,TLR5,0.896,DEG_HTN
HMGB1,TLR7,0.897,DEG_HTN
HMGB1,SDC1,0.921,DEG_HTN
HMGB1,CXCL12,0.984,DEG_HTN
HMGB2,SET,0.716,DEG_HTN
HMGB2,HMGB1,0.981,DEG_HTN
HMGCS2,ACAA2,0.996,DEG_HTN
HMGCS2,DLST,0.833,DEG_HTN
HMGCS2,IDI1,0.813,DEG_HTN
HMGCS2,SUCLG2,0.831,DEG_HTN
HNRNPA1,PABPN1,0.885,DEG_HTN
HNRNPA1,HNRNPL,0.993,DEG_HTN
HNRNPA1,NONO,0.945,DEG_HTN
HNRNPA1,U2AF1,0.93,DEG_HTN
HNRNPA1,EEF2,0.777,DEG_HTN
HNRNPA1,HNRNPD,0.932,DEG_HTN
HNRNPA1,SNRNP200,0.741,DEG_HTN
HNRNPA1,NCBP2,0.752,DEG_HTN
HNRNPA1,SEPTIN6,0.875,DEG_HTN
HNRNPA1,RACK1,0.713,DEG_HTN
HNRNPA1,XRCC6,0.741,DEG_HTN
HNRNPA1,RPS6,0.77,DEG_HTN
HNRNPA1,ATXN2,0.782,DEG_HTN
HNRNPA1,RPL5,0.816,DEG_HTN
HNRNPA1,SNRPD2,0.868,DEG_HTN
HNRNPA1,DROSHA,0.915,DEG_HTN
HNRNPA1,KHSRP,0.964,DEG_HTN
HNRNPA1,HNRNPU,0.992,DEG_HTN
HNRNPA1,HNRNPA2B1,0.998,DEG_HTN
HNRNPA2B1,PABPN1,0.726,DEG_HTN
HNRNPA2B1,HNRNPL,0.999,DEG_HTN
HNRNPA2B1,NONO,0.913,DEG_HTN
HNRNPA2B1,U2AF1,0.848,DEG_HTN
HNRNPA2B1,METTL3,0.879,DEG_HTN
HNRNPA2B1,EEF2,0.744,DEG_HTN
HNRNPA2B1,HNRNPD,0.947,DEG_HTN
HNRNPA2B1,SF3B2,0.744,DEG_HTN
HNRNPA2B1,CBX3,0.824,DEG_HTN
HNRNPA2B1,HNRNPA1,0.998,DEG_HTN
HNRNPA2B1,SNRPD2,0.779,DEG_HTN
HNRNPA2B1,HMGB1,0.81,DEG_HTN
HNRNPA2B1,YWHAZ,0.704,DEG_HTN
HNRNPA2B1,KHSRP,0.74,DEG_HTN
HNRNPA2B1,HNRNPU,0.979,DEG_HTN
HNRNPD,HNRNPL,0.924,DEG_HTN
HNRNPD,NCBP2,0.704,DEG_HTN
HNRNPD,KHSRP,0.929,DEG_HTN
HNRNPD,HNRNPA1,0.932,DEG_HTN
HNRNPD,HNRNPA2B1,0.947,DEG_HTN
HNRNPD,HNRNPU,0.973,DEG_HTN
HNRNPD,HSPA8,0.98,DEG_HTN
HNRNPL,PABPN1,0.718,DEG_HTN
HNRNPL,SNRPD2,0.71,DEG_HTN
HNRNPL,KHSRP,0.766,DEG_HTN
HNRNPL,HDAC1,0.775,DEG_HTN
HNRNPL,NONO,0.802,DEG_HTN
HNRNPL,U2AF1,0.804,DEG_HTN
HNRNPL,HNRNPD,0.924,DEG_HTN
HNRNPL,HNRNPU,0.974,DEG_HTN
HNRNPL,HNRNPA1,0.993,DEG_HTN
HNRNPL,HNRNPA2B1,0.999,DEG_HTN
HNRNPU,HNRNPL,0.974,DEG_HTN
HNRNPU,NAT10,0.77,DEG_HTN
HNRNPU,ACIN1,0.876,DEG_HTN
HNRNPU,NONO,0.74,DEG_HTN
HNRNPU,NVL,0.763,DEG_HTN
HNRNPU,U2AF1,0.801,DEG_HTN
HNRNPU,HNRNPD,0.973,DEG_HTN
HNRNPU,WRAP53,0.799,DEG_HTN
HNRNPU,HNRNPA1,0.992,DEG_HTN
HNRNPU,HNRNPA2B1,0.979,DEG_HTN
HNRNPU,TOP1,0.743,DEG_HTN
HNRNPU,DKC1,0.756,DEG_HTN
HNRNPU,BTRC,0.84,DEG_HTN
HNRNPU,IKBKB,0.74,DEG_HTN
HPD,XYLB,0.805,DEG_HTN
HRH2,GAST,0.765,DEG_HTN
HRH2,GNAL,0.799,DEG_HTN
HSDL2,ACAA2,0.918,DEG_HTN
HSDL2,ECI1,0.815,DEG_HTN
HSDL2,ACSM1,0.7,DEG_HTN
HSDL2,ECHS1,0.8,DEG_HTN
HSDL2,ECHDC2,0.791,DEG_HTN
HSDL2,ACADVL,0.787,DEG_HTN
HSDL2,ECHDC1,0.823,DEG_HTN
HSP90AA1,SGTA,0.943,DEG_HTN
HSP90AA1,TTC1,0.856,DEG_HTN
HSP90AA1,H3-3B,0.75,DEG_HTN
HSP90AA1,MDM2,0.909,DEG_HTN
HSP90AA1,RAB11A,0.885,DEG_HTN
HSP90AA1,RPS27A,0.707,DEG_HTN
HSP90AA1,EGFR,0.999,DEG_HTN
HSP90AA1,CCT5,0.868,DEG_HTN
HSP90AA1,EEF2,0.879,DEG_HTN
HSP90AA1,HSPA6,0.879,DEG_HTN
HSP90AA1,CD151,0.834,DEG_HTN
HSP90AA1,HSPA5,0.968,DEG_HTN
HSP90AA1,PRKCD,0.78,DEG_HTN
HSP90AA1,HMGB1,0.703,DEG_HTN
HSP90AA1,RPL5,0.718,DEG_HTN
HSP90AA1,UBC,0.735,DEG_HTN
HSP90AA1,FGR,0.737,DEG_HTN
HSP90AA1,TUBA1A,0.744,DEG_HTN
HSP90AA1,HDAC1,0.764,DEG_HTN
HSP90AA1,GDF5,0.766,DEG_HTN
HSP90AA1,CDK11A,0.769,DEG_HTN
HSP90AA1,ENO1,0.771,DEG_HTN
HSP90AA1,ARNT,0.78,DEG_HTN
HSP90AA1,ROCK1,0.784,DEG_HTN
HSP90AA1,RPS6,0.79,DEG_HTN
HSP90AA1,KSR1,0.79,DEG_HTN
HSP90AA1,IGF1R,0.791,DEG_HTN
HSP90AA1,YWHAZ,0.801,DEG_HTN
HSP90AA1,LYN,0.809,DEG_HTN
HSP90AA1,CD63,0.829,DEG_HTN
HSP90AA1,GRB2,0.835,DEG_HTN
HSP90AA1,TOMM34,0.844,DEG_HTN
HSP90AA1,DKC1,0.848,DEG_HTN
HSP90AA1,CAV3,0.848,DEG_HTN
HSP90AA1,CHEK1,0.891,DEG_HTN
HSP90AA1,RACK1,0.91,DEG_HTN
HSP90AA1,SMYD3,0.936,DEG_HTN
HSP90AA1,EZR,0.954,DEG_HTN
HSP90AA1,DNAJC7,0.97,DEG_HTN
HSP90AA1,IKBKB,0.975,DEG_HTN
HSP90AA1,FKBP8,0.995,DEG_HTN
HSP90AA1,HSPA8,0.999,DEG_HTN
HSPA12A,HSPA6,0.771,DEG_HTN
HSPA12A,HSPA5,0.868,DEG_HTN
HSPA12A,HSPA8,0.825,DEG_HTN
HSPA5,DERL2,0.946,DEG_HTN
HSPA5,PDIA2,0.87,DEG_HTN
HSPA5,ERP29,0.783,DEG_HTN
HSPA5,EGFR,0.862,DEG_HTN
HSPA5,CCT5,0.727,DEG_HTN
HSPA5,RPN1,0.795,DEG_HTN
HSPA5,ITPR1,0.782,DEG_HTN
HSPA5,EEF2,0.858,DEG_HTN
HSPA5,HSPA6,0.831,DEG_HTN
HSPA5,OS9,0.98,DEG_HTN
HSPA5,A2M,0.972,DEG_HTN
HSPA5,IGF1R,0.701,DEG_HTN
HSPA5,DNAJB2,0.714,DEG_HTN
HSPA5,TUBA1A,0.717,DEG_HTN
HSPA5,MAP3K5,0.723,DEG_HTN
HSPA5,ENO1,0.726,DEG_HTN
HSPA5,ANXA2,0.773,DEG_HTN
HSPA5,MBTPS1,0.795,DEG_HTN
HSPA5,DNAJC7,0.804,DEG_HTN
HSPA5,UBE2J1,0.809,DEG_HTN
HSPA5,ATF6B,0.824,DEG_HTN
HSPA5,GANAB,0.846,DEG_HTN
HSPA5,HSPA12A,0.868,DEG_HTN
HSPA5,TFAM,0.942,DEG_HTN
HSPA5,HSP90AA1,0.968,DEG_HTN
HSPA5,HSPA8,0.983,DEG_HTN
HSPA5,ATF6,0.999,DEG_HTN
HSPA6,DNAJC7,0.741,DEG_HTN
HSPA6,HSPA12A,0.771,DEG_HTN
HSPA6,HSPA8,0.831,DEG_HTN
HSPA6,HSPA5,0.831,DEG_HTN
HSPA6,DNAJB2,0.858,DEG_HTN
HSPA6,HSP90AA1,0.879,DEG_HTN
HSPA8,SGTA,0.998,DEG_HTN
HSPA8,TTC1,0.875,DEG_HTN
HSPA8,CLTA,0.732,DEG_HTN
HSPA8,RPS27A,0.772,DEG_HTN
HSPA8,EGFR,0.932,DEG_HTN
HSPA8,CCT5,0.948,DEG_HTN
HSPA8,EEF2,0.841,DEG_HTN
HSPA8,HSPA6,0.831,DEG_HTN
HSPA8,HNRNPD,0.98,DEG_HTN
HSPA8,HSPA5,0.983,DEG_HTN
HSPA8,HSP90AA1,0.999,DEG_HTN
HSPA8,TUBA1B,0.801,DEG_HTN
HSPA8,DNAJB2,0.946,DEG_HTN
HSPA8,HMGB1,0.724,DEG_HTN
HSPA8,TUBB2A,0.875,DEG_HTN
HSPA8,YWHAZ,0.823,DEG_HTN
HSPA8,DNAJC7,0.961,DEG_HTN
HSPA8,RACK1,0.852,DEG_HTN
HSPA8,CD63,0.774,DEG_HTN
HSPA8,PQBP1,0.809,DEG_HTN
HSPA8,UBC,0.81,DEG_HTN
HSPA8,HSPA12A,0.825,DEG_HTN
HSPA8,ENO1,0.876,DEG_HTN
HSPA8,CLTC,0.883,DEG_HTN
HSPA8,TUBA1A,0.9,DEG_HTN
HTATIP2,NDUFS2,0.825,DEG_HTN
HTATIP2,TUBA1C,0.769,DEG_HTN
HTR1E,HTR3B,0.723,DEG_HTN
HTR1E,GNB2,0.835,DEG_HTN
HTR2C,TPH1,0.844,DEG_HTN
HTR2C,ARRB2,0.735,DEG_HTN
HTR3B,HTR1E,0.723,DEG_HTN
HTR6,GNAL,0.716,DEG_HTN
IBSP,COL1A1,0.713,DEG_HTN
IBSP,BMP2,0.773,DEG_HTN
IBSP,ALPL,0.826,DEG_HTN
IBSP,ITGB5,0.909,DEG_HTN
ICK,ORC3,0.792,DEG_HTN
IDH3B,ACO2,0.996,DEG_HTN
IDH3B,SDHA,0.824,DEG_HTN
IDH3B,FSCN2,0.708,DEG_HTN
IDH3B,DLST,0.902,DEG_HTN
IDH3B,FH,0.804,DEG_HTN
IDH3B,NDUFS2,0.841,DEG_HTN
IDH3B,SDHB,0.816,DEG_HTN
IDH3B,OGDH,0.984,DEG_HTN
IDH3B,SUCLG2,0.806,DEG_HTN
IDI1,HMGCS2,0.813,DEG_HTN
IDI1,NSDHL,0.856,DEG_HTN
IFIT5,MX2,0.725,DEG_HTN
IFT140,IFT57,0.902,DEG_HTN
IFT140,CEP290,0.723,DEG_HTN
IFT140,GPR161,0.759,DEG_HTN
IFT57,IFT140,0.902,DEG_HTN
IFT57,HIP1,0.953,DEG_HTN
IGBP1,MID1,0.954,DEG_HTN
IGF1R,SNAP29,0.703,DEG_HTN
IGF1R,MDM2,0.981,DEG_HTN
IGF1R,EGFR,0.989,DEG_HTN
IGF1R,ANGPT2,0.738,DEG_HTN
IGF1R,HSPA5,0.701,DEG_HTN
IGF1R,HSP90AA1,0.791,DEG_HTN
IGF1R,IGF2R,0.887,DEG_HTN
IGF1R,EFNA1,0.738,DEG_HTN
IGF1R,GNAI3,0.91,DEG_HTN
IGF1R,IRS4,0.968,DEG_HTN
IGF1R,FOXO1,0.783,DEG_HTN
IGF1R,SDC1,0.735,DEG_HTN
IGF1R,GRB2,0.985,DEG_HTN
IGF1R,ARRB2,0.814,DEG_HTN
IGF1R,TGFA,0.887,DEG_HTN
IGF1R,ARRB1,0.758,DEG_HTN
IGF1R,BDNF,0.907,DEG_HTN
IGF1R,RACK1,0.871,DEG_HTN
IGF1R,PLCG2,0.91,DEG_HTN
IGF2R,GUSB,0.744,DEG_HTN
IGF2R,IGF1R,0.887,DEG_HTN
IGF2R,SLC22A2,0.887,DEG_HTN
IHH,SOX9,0.757,DEG_HTN
IHH,FOXF1,0.82,DEG_HTN
IHH,PTH1R,0.742,DEG_HTN
IHH,GDF5,0.771,DEG_HTN
IHH,BMP2,0.772,DEG_HTN
IHH,GAS1,0.969,DEG_HTN
IK,SNRPB2,0.981,DEG_HTN
IK,LSM3,0.98,DEG_HTN
IK,SNRNP200,0.982,DEG_HTN
IK,SF3B2,0.924,DEG_HTN
IK,RBM10,0.711,DEG_HTN
IK,SNRPD2,0.98,DEG_HTN
IK,CDC40,0.821,DEG_HTN
IK,RNF113A,0.968,DEG_HTN
IK,LSM2,0.983,DEG_HTN
IK,DHX16,0.916,DEG_HTN
IK,SNW1,0.717,DEG_HTN
IK,PQBP1,0.806,DEG_HTN
IK,LSM5,0.98,DEG_HTN
IKBKB,TNFRSF1A,0.999,DEG_HTN
IKBKB,TRAF5,0.959,DEG_HTN
IKBKB,NOD2,0.807,DEG_HTN
IKBKB,CUL1,0.762,DEG_HTN
IKBKB,HSP90AA1,0.975,DEG_HTN
IKBKB,FOXO3,0.989,DEG_HTN
IKBKB,MAP3K3,0.959,DEG_HTN
IKBKB,BTRC,0.95,DEG_HTN
IKBKB,IRS4,0.911,DEG_HTN
IKBKB,FOXO1,0.944,DEG_HTN
IKBKB,SHARPIN,0.807,DEG_HTN
IKBKB,CYLD,0.868,DEG_HTN
IKBKB,SPATA2,0.833,DEG_HTN
IKBKB,HNRNPU,0.74,DEG_HTN
IL1R1,TNFRSF1A,0.921,DEG_HTN
